tf,substrate,source,yeastract_sign,in_teufel
RFX1,RNR4,teufel,-,1
YOX1,RNR4,teufel,NA,1
SKO1,RNR4,teufel,+,1
RAP1,RNR4,teufel,+,1
RAP1,TIM13,teufel,+,1
DAL82,YGR182C,teufel,-,1
CIN5,YGR182C,teufel,+,1
HAP3,QCR9,teufel,-,1
TEC1,QCR9,teufel,-,1
HAP2,QCR9,teufel,-,1
BAS1,QCR9,teufel,-,1
GCN4,TYS1,teufel,+,1
ABF1,TYS1,teufel,+,1
AFT1,HGH1,teufel,+,1
TEC1,CRH1,teufel,NA,1
SWI5,CRH1,teufel,+,1
ASH1,CRH1,teufel,NA,1
SOK2,CRH1,teufel,NA,1
MSN2,CRH1,teufel,-,1
MCM1,CRH1,teufel,+,1
RLM1,CRH1,teufel,+,1
STE12,HIP1,teufel,NA,1
SFP1,HIP1,teufel,NA,1
GCN4,TDH3,teufel,both,1
HSF1,TDH3,teufel,+,1
SKN7,TDH3,teufel,+,1
ABF1,TDH3,teufel,+,1
GCR2,TDH3,teufel,NA,1
RAP1,TDH3,teufel,+,1
CIN5,TDH3,teufel,+,1
TYE7,TDH3,teufel,+,1
GCR1,TDH3,teufel,both,1
HSF1,SKI6,teufel,+,1
ABF1,SKI6,teufel,+,1
HSF1,SNG1,teufel,+,1
STE12,SNG1,teufel,NA,1
MSN2,SNG1,teufel,NA,1
HSF1,YPP1,teufel,+,1
STE12,YPP1,teufel,NA,1
YAP1,YPP1,teufel,both,1
STP2,PMT6,teufel,NA,1
STE12,PMT6,teufel,NA,1
CBF1,ELP2,teufel,+,1
MSN2,PCT1,teufel,NA,1
STE12,YCH1,teufel,-,1
ABF1,YCH1,teufel,+,1
BAS1,YCH1,teufel,-,1
MSN2,YCH1,teufel,-,1
RAP1,YCH1,teufel,+,1
PHO2,ADE3,teufel,both,1
MET32,ADE3,teufel,+,1
GCN4,ADE3,teufel,+,1
MET28,ADE3,teufel,NA,1
CBF1,ADE3,teufel,NA,1
BAS1,ADE3,teufel,both,1
MET4,ADE3,teufel,+,1
RAP1,ADE3,teufel,+,1
HAP5,ADE3,teufel,+,1
MET31,ADE3,teufel,+,1
SKN7,TRX2,teufel,NA,1
YAP1,TRX2,teufel,both,1
MSN2,TRX2,teufel,NA,1
CIN5,TRX2,teufel,-,1
HSF1,YGR210C,teufel,+,1
SKN7,YGR210C,teufel,NA,1
HSF1,ZPR1,teufel,+,1
YAP1,ZPR1,teufel,both,1
MSN2,ZPR1,teufel,-,1
IFH1,RPS0A,teufel,NA,1
SOK2,RPS0A,teufel,NA,1
RAP1,RPS0A,teufel,+,1
GCR1,RPS0A,teufel,+,1
FHL1,RPS0A,teufel,NA,1
STE12,CCH1,teufel,NA,1
RAP1,CCH1,teufel,NA,1
TEC1,CRM1,teufel,NA,1
STE12,CRM1,teufel,NA,1
TEC1,TOS2,teufel,both,1
STE12,TOS2,teufel,NA,1
MSN2,TOS2,teufel,NA,1
TEC1,PET54,teufel,NA,1
STE12,PET54,teufel,NA,1
RPN4,HSV2,teufel,both,1
YAP1,HSV2,teufel,both,1
TEC1,BNS1,teufel,NA,1
STE12,BNS1,teufel,NA,1
CIN5,BNS1,teufel,+,1
ABF1,PHB2,teufel,NA,1
TEC1,PHO81,teufel,NA,1
PHO2,PHO81,teufel,NA,1
CAD1,PHO81,teufel,-,1
PHO4,PHO81,teufel,+,1
STE12,PHO81,teufel,NA,1
PHD1,PHO81,teufel,NA,1
TEC1,YHB1,teufel,NA,1
GLN3,YHB1,teufel,NA,1
SWI4,YHB1,teufel,+,1
HAP2,YHB1,teufel,+,1
CBF1,YHB1,teufel,+,1
ACE2,YHB1,teufel,+,1
HAP1,YHB1,teufel,NA,1
YAP1,YHB1,teufel,both,1
MSN2,YHB1,teufel,both,1
RAP1,YHB1,teufel,both,1
HAL9,YHB1,teufel,NA,1
HAP5,YHB1,teufel,both,1
DIG1,YHB1,teufel,NA,1
ABF1,KEL2,teufel,+,1
YAP1,KEL2,teufel,both,1
STE12,PEX21,teufel,NA,1
GCR2,PFK1,teufel,NA,1
RAP1,PFK1,teufel,+,1
STE12,YAP1802,teufel,NA,1
REB1,FMP43,teufel,NA,1
ADR1,FMP43,teufel,NA,1
AFT1,FMP43,teufel,NA,1
STE12,FMP43,teufel,NA,1
MSN2,FMP43,teufel,NA,1
SKO1,FMP43,teufel,NA,1
CIN5,FMP43,teufel,NA,1
ADR1,SDA1,teufel,NA,1
PDR1,SDA1,teufel,both,1
SWI4,YGR250C,teufel,NA,1
HSF1,YGR250C,teufel,NA,1
SFP1,YGR250C,teufel,NA,1
RPN4,PUP2,teufel,both,1
PHO4,PUP2,teufel,+,1
SWI5,ENO1,teufel,+,1
PHO4,ENO1,teufel,+,1
PDR1,ENO1,teufel,both,1
CBF1,ENO1,teufel,-,1
SOK2,ENO1,teufel,NA,1
MSN2,ENO1,teufel,-,1
MET4,ENO1,teufel,NA,1
RAP1,ENO1,teufel,+,1
INO4,ENO1,teufel,NA,1
CIN5,ENO1,teufel,+,1
TYE7,ENO1,teufel,+,1
GCR1,ENO1,teufel,both,1
MSN2,COQ6,teufel,+,1
CAD1,GND2,teufel,NA,1
MSN2,GND2,teufel,both,1
CIN5,GND2,teufel,+,1
ABF1,MTM1,teufel,+,1
SUM1,RAD2,teufel,-,1
SUM1,TNA1,teufel,-,1
RAP1,TNA1,teufel,+,1
UME6,MES1,teufel,+,1
HAP1,YGR266W,teufel,+,1
GCN4,FOL2,teufel,+,1
ABF1,HUA1,teufel,+,1
ABF1,YTA7,teufel,+,1
STB1,CAB4,teufel,NA,1
STB5,SCW4,teufel,+,1
SKN7,SCW4,teufel,+,1
IXR1,SCW4,teufel,-,1
PHD1,SCW4,teufel,NA,1
SOK2,SCW4,teufel,NA,1
RAP1,SCW4,teufel,-,1
CIN5,SCW4,teufel,+,1
PDR3,PXR1,teufel,+,1
REB1,PXR1,teufel,-,1
PDR1,PXR1,teufel,both,1
STE12,PXR1,teufel,NA,1
MSN2,PXR1,teufel,both,1
MET4,PXR1,teufel,NA,1
RAP1,PXR1,teufel,-,1
PDR3,YOR1,teufel,both,1
PDR1,YOR1,teufel,both,1
STE12,YOR1,teufel,NA,1
MSN2,YOR1,teufel,NA,1
YHP1,YGR283C,teufel,NA,1
RAP1,ERV29,teufel,NA,1
SOK2,BIO2,teufel,NA,1
FLO8,COS6,teufel,-,1
SWI4,COS6,teufel,-,1
PDR1,COS6,teufel,both,1
ZAP1,COS6,teufel,+,1
ABF1,COS6,teufel,+,1
RAP1,COS6,teufel,NA,1
SWI4,COS8,teufel,-,1
STE12,COS8,teufel,NA,1
RAP1,COS8,teufel,+,1
AFT1,ARN2,teufel,+,1
TEC1,YHL044W,teufel,NA,1
YAP1,YHL044W,teufel,both,1
YHP1,ARN1,teufel,NA,1
FLO8,ARN1,teufel,NA,1
AFT1,ARN1,teufel,+,1
BAS1,ARN1,teufel,-,1
MET32,MUP3,teufel,+,1
ARO80,MUP3,teufel,NA,1
YOX1,MUP3,teufel,NA,1
MET4,MUP3,teufel,NA,1
RAP1,MUP3,teufel,NA,1
DAL82,MUP3,teufel,+,1
CIN5,MUP3,teufel,+,1
MET31,MUP3,teufel,both,1
CIN5,SBP1,teufel,+,1
GCR1,SBP1,teufel,+,1
TUP1,RPL8A,teufel,NA,1
STE12,RPL8A,teufel,NA,1
IFH1,RPL8A,teufel,NA,1
RAP1,RPL8A,teufel,+,1
ADR1,GUT1,teufel,+,1
RAP1,GUT1,teufel,+,1
REB1,GOS1,teufel,+,1
TUP1,OCA5,teufel,NA,1
ABF1,OCA5,teufel,NA,1
ACE2,OCA5,teufel,NA,1
RAP1,OCA5,teufel,-,1
GCN4,RIM101,teufel,+,1
SOK2,YHL026C,teufel,NA,1
STE12,SNF6,teufel,-,1
MCM1,SNF6,teufel,-,1
OAF1,AIM17,teufel,+,1
CAD1,AIM17,teufel,+,1
PDR1,AIM17,teufel,both,1
MSN2,AIM17,teufel,+,1
INO4,OPI1,teufel,+,1
IFH1,RPS20,teufel,NA,1
SFP1,RPS20,teufel,NA,1
RAP1,RPS20,teufel,+,1
ABF1,YLF2,teufel,NA,1
PDR1,YHL012W,teufel,NA,1
ACE2,YHL012W,teufel,NA,1
YOX1,YHL012W,teufel,NA,1
STE12,YAP3,teufel,NA,1
MCM1,YAP3,teufel,-,1
STE12,YHL008C,teufel,NA,1
MCM1,YHL008C,teufel,-,1
SOK2,STE20,teufel,NA,1
STE12,SHU1,teufel,+,1
TUP1,RPL14B,teufel,NA,1
STE12,RPL14B,teufel,NA,1
IXR1,RPL14B,teufel,+,1
IFH1,RPL14B,teufel,NA,1
SFP1,RPL14B,teufel,NA,1
RAP1,RPL14B,teufel,+,1
MSN2,OSH7,teufel,NA,1
HAP2,QCR10,teufel,-,1
CBF1,QCR10,teufel,+,1
SKN7,NEM1,teufel,+,1
RAP1,NEM1,teufel,NA,1
TEC1,GPA1,teufel,NA,1
STE12,GPA1,teufel,+,1
SOK2,GPA1,teufel,NA,1
DIG1,GPA1,teufel,NA,1
RGT1,TIM10,teufel,-,1
CIN5,TIM10,teufel,-,1
TYE7,TIM10,teufel,-,1
STE12,ERG11,teufel,both,1
HAP1,ERG11,teufel,NA,1
YAP1,ERG11,teufel,both,1
SOK2,ERG11,teufel,NA,1
RAP1,ERG11,teufel,NA,1
SKN7,SOD2,teufel,NA,1
YAP1,SOD2,teufel,both,1
MSN2,SOD2,teufel,+,1
TUP1,RPL27A,teufel,NA,1
SKN7,RPL27A,teufel,-,1
ABF1,RPL27A,teufel,-,1
IFH1,RPL27A,teufel,NA,1
SFP1,RPL27A,teufel,NA,1
RAP1,RPL27A,teufel,+,1
CIN5,RPL27A,teufel,-,1
SOK2,ARD1,teufel,NA,1
RTG3,ARG4,teufel,+,1
GCN4,ARG4,teufel,+,1
GLN3,ARG4,teufel,both,1
YAP1,ARG4,teufel,both,1
GCN4,DED81,teufel,+,1
GCN4,YHR020W,teufel,both,1
YRM1,YHR020W,teufel,NA,1
IFH1,RPS27B,teufel,NA,1
SFP1,RPS27B,teufel,NA,1
RAP1,RPS27B,teufel,+,1
STE12,MYO1,teufel,NA,1
GCN4,MAS2,teufel,+,1
YRM1,MAS2,teufel,NA,1
REB1,THR1,teufel,+,1
GCN4,THR1,teufel,+,1
REB1,VMA16,teufel,+,1
RPN4,DAP2,teufel,both,1
GCN4,YHI9,teufel,+,1
GLN3,YHI9,teufel,NA,1
STE12,YHI9,teufel,NA,1
YAP1,YHI9,teufel,both,1
RLM1,SLT2,teufel,+,1
TUP1,ERC1,teufel,NA,1
PHO4,ERC1,teufel,NA,1
RAP1,ERC1,teufel,+,1
TEC1,YHR033W,teufel,NA,1
NRG1,YHR033W,teufel,-,1
SOK2,YHR033W,teufel,NA,1
MSN2,YHR033W,teufel,NA,1
MET4,YHR033W,teufel,NA,1
SKO1,YHR033W,teufel,-,1
FHL1,YHR033W,teufel,NA,1
PUT3,PUT2,teufel,+,1
TYE7,NCP1,teufel,+,1
ABF1,DOG1,teufel,NA,1
HSF1,FSH1,teufel,+,1
SOK2,FSH1,teufel,NA,1
SKO1,FSH1,teufel,-,1
ABF1,SMF2,teufel,+,1
HAP3,COX6,teufel,+,1
RTG3,COX6,teufel,+,1
HAP2,COX6,teufel,+,1
ABF1,COX6,teufel,+,1
HAP5,COX6,teufel,+,1
PHO4,CIC1,teufel,+,1
STE12,FYV4,teufel,NA,1
STE12,GIC1,teufel,-,1
ABF1,SSZ1,teufel,NA,1
RAP1,TRM5,teufel,+,1
GCN4,PCL5,teufel,+,1
STE12,PCL5,teufel,-,1
SOK2,PCL5,teufel,NA,1
MSN2,PCL5,teufel,+,1
MET4,PCL5,teufel,-,1
RAP1,PCL5,teufel,both,1
DAL82,PCL5,teufel,+,1
MSN2,YHR080C,teufel,NA,1
MSN2,LRP1,teufel,NA,1
RDS2,LRP1,teufel,NA,1
MSN2,SAM35,teufel,NA,1
TEC1,STE12,teufel,+,1
MCM1,STE12,teufel,+,1
PDR1,NAM8,teufel,both,1
STE12,NAM8,teufel,+,1
PDR1,RTC3,teufel,both,1
FKH1,RTC3,teufel,+,1
YAP1,RTC3,teufel,+,1
MSN2,RTC3,teufel,+,1
HOT1,RTC3,teufel,NA,1
CAD1,RPF1,teufel,NA,1
CBF1,GAR1,teufel,+,1
ACE2,MSR1,teufel,NA,1
RAP1,MSR1,teufel,NA,1
ROX1,MSR1,teufel,NA,1
TEC1,HXT4,teufel,NA,1
RGT1,HXT4,teufel,-,1
SOK2,HXT4,teufel,NA,1
MSN2,HXT4,teufel,NA,1
GCR1,HXT4,teufel,+,1
RGT1,HXT1,teufel,both,1
RFX1,HXT1,teufel,NA,1
MSN2,HXT1,teufel,both,1
SKO1,HXT1,teufel,-,1
STE12,YHR097C,teufel,NA,1
SOK2,YHR097C,teufel,NA,1
MSN2,YHR097C,teufel,NA,1
RAP1,YHR097C,teufel,NA,1
CBF1,SFB3,teufel,both,1
MCM1,SFB3,teufel,+,1
MET32,KIC1,teufel,+,1
HSF1,GRE3,teufel,NA,1
MSN2,GRE3,teufel,+,1
YHP1,ERP5,teufel,NA,1
ABF1,UBA4,teufel,NA,1
MET32,YHR112C,teufel,NA,1
CBF1,YHR112C,teufel,both,1
MET4,YHR112C,teufel,+,1
ABF1,EPT1,teufel,+,1
RAP1,EPT1,teufel,both,1
STE12,YHR127W,teufel,NA,1
SWI5,FUR1,teufel,NA,1
RAP1,FUR1,teufel,NA,1
ASH1,YCK1,teufel,NA,1
MSN2,YCK1,teufel,+,1
SWI5,YHR138C,teufel,NA,1
AFT1,YHR138C,teufel,-,1
SOK2,YHR138C,teufel,NA,1
MSN2,YHR138C,teufel,+,1
RAP1,RPL42B,teufel,+,1
DAL82,RPL42B,teufel,-,1
TEC1,CHS7,teufel,NA,1
MBP1,CHS7,teufel,both,1
STE12,CHS7,teufel,NA,1
RAP1,CHS7,teufel,+,1
SWI5,DSE2,teufel,both,1
STE12,DSE2,teufel,NA,1
FKH1,DSE2,teufel,+,1
ACE2,DSE2,teufel,+,1
RLM1,DSE2,teufel,+,1
MBP1,SKG6,teufel,-,1
STE12,SKG6,teufel,NA,1
MSN2,SKG6,teufel,-,1
STE12,PEX28,teufel,NA,1
MSN2,PEX28,teufel,-,1
STE12,MTC6,teufel,NA,1
YOX1,SPO12,teufel,NA,1
RFX1,RTT107,teufel,+,1
INO4,RTT107,teufel,+,1
INO4,YSP1,teufel,NA,1
YRM1,KEL1,teufel,NA,1
GCN4,YAP1801,teufel,+,1
MSN2,YAP1801,teufel,NA,1
ABF1,PRP8,teufel,NA,1
ASH1,DBP8,teufel,NA,1
YAP1,DBP8,teufel,both,1
AFT1,NMD3,teufel,+,1
YAP1,NMD3,teufel,both,1
HSF1,ENO2,teufel,+,1
ZAP1,ENO2,teufel,NA,1
SOK2,ENO2,teufel,NA,1
GCR2,ENO2,teufel,NA,1
RAP1,ENO2,teufel,+,1
GCR1,ENO2,teufel,both,1
MAC1,CTR2,teufel,NA,1
YAP1,STB5,teufel,both,1
STE12,OYE2,teufel,NA,1
ABF1,OYE2,teufel,+,1
YAP1,OYE2,teufel,both,1
ARG81,OYE2,teufel,+,1
SUM1,GND1,teufel,+,1
YAP1,GND1,teufel,both,1
RAP1,GND1,teufel,+,1
CIN5,GND1,teufel,+,1
STE12,KOG1,teufel,NA,1
ASH1,ERG9,teufel,NA,1
HAP1,ERG9,teufel,+,1
MSN2,ERG9,teufel,NA,1
ACE2,EGD2,teufel,NA,1
ROX1,EGD2,teufel,+,1
ZAP1,MDM31,teufel,NA,1
ACE2,MDM31,teufel,NA,1
SOK2,MDM31,teufel,NA,1
ACE2,NVJ1,teufel,NA,1
ABF1,UTP9,teufel,-,1
PDR1,RIX1,teufel,both,1
STE12,AIM18,teufel,NA,1
PUT3,AIM46,teufel,+,1
PUT3,RPN10,teufel,+,1
ABF1,RPN10,teufel,NA,1
MSN2,RPN10,teufel,+,1
SOK2,YHR202W,teufel,NA,1
TUP1,RPS4B,teufel,NA,1
SFP1,RPS4B,teufel,NA,1
RAP1,RPS4B,teufel,+,1
IFH1,MNL1,teufel,NA,1
CIN5,SCH9,teufel,+,1
SOK2,SKN7,teufel,NA,1
DAL82,SKN7,teufel,+,1
PHD1,BAT1,teufel,NA,1
RAP1,IMD2,teufel,+,1
MET32,YIL165C,teufel,+,1
GCN4,YIL165C,teufel,+,1
MET4,YIL165C,teufel,+,1
MIG1,SUC2,teufel,both,1
MIG2,SUC2,teufel,both,1
MSN2,SUC2,teufel,+,1
CIN5,SUC2,teufel,+,1
STE12,BNR1,teufel,NA,1
ASH1,AIM20,teufel,NA,1
ADR1,GUT2,teufel,NA,1
FHL1,GUT2,teufel,NA,1
IFH1,RPL40A,teufel,NA,1
SFP1,RPL40A,teufel,NA,1
RAP1,RPL40A,teufel,+,1
TYE7,RPL40A,teufel,-,1
UME6,PAN6,teufel,-,1
UME6,TID3,teufel,NA,1
ABF1,SSL2,teufel,-,1
TEC1,AXL2,teufel,NA,1
STE12,AXL2,teufel,NA,1
YOX1,AXL2,teufel,NA,1
MSS11,AXL2,teufel,NA,1
ABF1,TPM2,teufel,NA,1
STE12,TMA108,teufel,NA,1
PHO4,OM45,teufel,-,1
STE12,OM45,teufel,NA,1
CIN5,OM45,teufel,NA,1
YRM1,VHS2,teufel,NA,1
IFH1,RPL16A,teufel,NA,1
SFP1,RPL16A,teufel,NA,1
RAP1,RPL16A,teufel,+,1
CBF1,RRT14,teufel,+,1
AFT1,KGD1,teufel,NA,1
TEC1,SIM1,teufel,NA,1
TUP1,SIM1,teufel,NA,1
SWI4,SIM1,teufel,+,1
STE12,SIM1,teufel,+,1
ASH1,SIM1,teufel,NA,1
SOK2,SIM1,teufel,NA,1
MSN2,SIM1,teufel,-,1
MCM1,SIM1,teufel,+,1
CIN5,SIM1,teufel,+,1
RLM1,SIM1,teufel,+,1
REB1,QDR2,teufel,+,1
PHO4,QDR2,teufel,NA,1
STE12,QDR2,teufel,NA,1
RAP1,QDR2,teufel,both,1
OAF1,QDR1,teufel,+,1
STE12,QDR1,teufel,NA,1
CAD1,RHO3,teufel,-,1
CBF1,RHO3,teufel,+,1
SKO1,RHO3,teufel,+,1
TEC1,PRM5,teufel,+,1
TUP1,PRM5,teufel,NA,1
GCN4,PRM5,teufel,both,1
STE12,PRM5,teufel,+,1
CBF1,PRM5,teufel,-,1
ABF1,PRM5,teufel,+,1
YAP1,PRM5,teufel,both,1
SOK2,PRM5,teufel,NA,1
MSN2,PRM5,teufel,NA,1
SKO1,PRM5,teufel,+,1
REB1,HIS5,teufel,+,1
GCN4,HIS5,teufel,+,1
CBF1,HIS5,teufel,both,1
ABF1,HIS5,teufel,+,1
BAS1,HIS5,teufel,+,1
SOK2,HIS5,teufel,NA,1
CBF1,NUP159,teufel,+,1
SKN7,POR2,teufel,+,1
SOK2,POR2,teufel,NA,1
SOK2,HOS4,teufel,NA,1
IXR1,COX5B,teufel,-,1
ROX1,COX5B,teufel,-,1
SKO1,YIL108W,teufel,+,1
MCM1,PFK26,teufel,-,1
YOX1,MOB1,teufel,NA,1
NRG1,FMC1,teufel,-,1
TEC1,YIL096C,teufel,NA,1
MSN2,YIL096C,teufel,NA,1
TEC1,PRK1,teufel,NA,1
STE12,PRK1,teufel,-,1
UME6,UTP25,teufel,-,1
ABF1,UTP25,teufel,-,1
YAP1,UTP25,teufel,both,1
UME6,ICE2,teufel,-,1
YRM1,AVT7,teufel,NA,1
CBF1,AIM19,teufel,+,1
MSN2,CAB2,teufel,NA,1
STE12,AIR1,teufel,NA,1
MCM1,YIL077C,teufel,NA,1
RPN4,RPN2,teufel,both,1
MSN2,RPN2,teufel,NA,1
MET32,SER33,teufel,+,1
CBF1,SER33,teufel,+,1
MCM1,MAM33,teufel,+,1
SFP1,RPS24B,teufel,NA,1
RAP1,RPS24B,teufel,+,1
STE12,YIL067C,teufel,NA,1
STE12,SNP1,teufel,NA,1
PDR3,VHR1,teufel,both,1
GCN4,VHR1,teufel,+,1
PDR1,VHR1,teufel,both,1
STE12,VHR1,teufel,NA,1
SOK2,VHR1,teufel,NA,1
MSN2,VHR1,teufel,NA,1
CIN5,VHR1,teufel,NA,1
TUP1,YIL055C,teufel,NA,1
STE12,YIL055C,teufel,NA,1
SOK2,YIL055C,teufel,NA,1
MSN2,YIL055C,teufel,NA,1
INO4,YIL055C,teufel,-,1
YRM1,YIL055C,teufel,NA,1
GCN4,RHR2,teufel,NA,1
ABF1,RHR2,teufel,NA,1
SOK2,RHR2,teufel,NA,1
MSN2,RHR2,teufel,NA,1
RAP1,RHR2,teufel,NA,1
IFH1,RPL34B,teufel,NA,1
SFP1,RPL34B,teufel,NA,1
RAP1,RPL34B,teufel,+,1
RAP1,MMF1,teufel,+,1
RAP1,PCL7,teufel,NA,1
ABF1,DFG10,teufel,+,1
ABF1,NEO1,teufel,+,1
RAP1,NEO1,teufel,NA,1
MSN2,SYG1,teufel,NA,1
MET32,MET30,teufel,+,1
MET28,MET30,teufel,NA,1
CBF1,MET30,teufel,-,1
MSN2,MET30,teufel,NA,1
MET4,MET30,teufel,+,1
RAP1,MET30,teufel,-,1
YAP1,PIG2,teufel,both,1
SOK2,PIG2,teufel,NA,1
MSN2,PIG2,teufel,NA,1
ABF1,GVP36,teufel,+,1
STE12,PRM2,teufel,+,1
ABF1,PRM2,teufel,NA,1
STE12,CST6,teufel,-,1
UME6,BCY1,teufel,-,1
RAP1,BCY1,teufel,+,1
UME6,ULP2,teufel,-,1
RAP1,TIM44,teufel,NA,1
NRG1,HIS6,teufel,-,1
RAP1,FAF1,teufel,-,1
ABF1,RPL2B,teufel,+,1
IFH1,RPL2B,teufel,NA,1
SFP1,RPL2B,teufel,NA,1
RAP1,RPL2B,teufel,+,1
STE12,SNL1,teufel,+,1
TEC1,BAR1,teufel,NA,1
SWI5,BAR1,teufel,-,1
STE12,BAR1,teufel,+,1
SWI6,BAR1,teufel,NA,1
MCM1,BAR1,teufel,both,1
STE12,EST3,teufel,NA,1
SWI5,FAA3,teufel,NA,1
STE12,FAA3,teufel,NA,1
ACE2,FAA3,teufel,NA,1
SOK2,FAA3,teufel,NA,1
ABF1,CFD1,teufel,+,1
BAS1,CFD1,teufel,-,1
SFP1,CFD1,teufel,NA,1
STE12,INP51,teufel,NA,1
RAP1,YIL001W,teufel,+,1
SWI5,AIM21,teufel,NA,1
STE12,DJP1,teufel,NA,1
MSN2,PAN1,teufel,NA,1
TYE7,PAN1,teufel,+,1
STE12,DSN1,teufel,NA,1
UME6,YIR014W,teufel,NA,1
SOK2,YIR014W,teufel,NA,1
YRM1,YIR014W,teufel,NA,1
MSN2,YIR016W,teufel,+,1
TEC1,MET28,teufel,NA,1
MET32,MET28,teufel,+,1
GCN4,MET28,teufel,+,1
PDR1,MET28,teufel,both,1
STE12,MET28,teufel,NA,1
CBF1,MET28,teufel,both,1
MSN2,MET28,teufel,NA,1
MET4,MET28,teufel,+,1
MET31,MET28,teufel,+,1
ABF1,SEC11,teufel,+,1
ABF1,DAL81,teufel,NA,1
DAL82,YVH1,teufel,-,1
TEC1,DAL4,teufel,NA,1
GLN3,DAL4,teufel,NA,1
STE12,DAL4,teufel,NA,1
DAL81,DAL4,teufel,NA,1
GLN3,DAL2,teufel,NA,1
STE12,DAL2,teufel,NA,1
DAL81,DAL2,teufel,NA,1
GLN3,DCG1,teufel,NA,1
TEC1,DAL7,teufel,NA,1
GLN3,DAL7,teufel,NA,1
HSF1,DAL7,teufel,-,1
DAL81,DAL7,teufel,+,1
LEU3,DAL7,teufel,both,1
RAP1,DAL7,teufel,-,1
DAL82,DAL7,teufel,+,1
STP1,LYS1,teufel,-,1
GCN4,LYS1,teufel,+,1
SKN7,LYS1,teufel,+,1
SOK2,GTT1,teufel,NA,1
PDR1,YPS6,teufel,NA,1
STE12,YPS6,teufel,NA,1
OAF1,YJL218W,teufel,NA,1
RAP1,YJL218W,teufel,-,1
ACE2,REE1,teufel,NA,1
MAC1,REE1,teufel,+,1
MSN2,REE1,teufel,-,1
MET32,OPT1,teufel,+,1
MET28,OPT1,teufel,NA,1
ABF1,OPT1,teufel,+,1
MET4,OPT1,teufel,+,1
RAP1,OPT1,teufel,NA,1
MET31,OPT1,teufel,both,1
ABF1,ECM25,teufel,+,1
GCN4,ACO2,teufel,+,1
MSN2,ACO2,teufel,-,1
RAP1,ACO2,teufel,NA,1
MBP1,ELO1,teufel,-,1
NRG1,ELO1,teufel,-,1
FLO8,ELO1,teufel,-,1
SWI4,ELO1,teufel,-,1
ASH1,ELO1,teufel,NA,1
SWI6,ELO1,teufel,NA,1
MSN2,ELO1,teufel,NA,1
GCR2,ELO1,teufel,NA,1
TEC1,CDC6,teufel,both,1
MBP1,CDC6,teufel,+,1
SWI5,CDC6,teufel,+,1
SWI4,CDC6,teufel,+,1
MSN2,CDC6,teufel,NA,1
MCM1,CDC6,teufel,+,1
GCR2,CDC6,teufel,NA,1
RAP1,SOP4,teufel,+,1
ABF1,RPS14B,teufel,+,1
IFH1,RPS14B,teufel,NA,1
SFP1,RPS14B,teufel,NA,1
RAP1,RPS14B,teufel,+,1
FKH1,RPS22A,teufel,-,1
IFH1,RPS22A,teufel,NA,1
RAP1,RPS22A,teufel,+,1
FKH1,RPL39,teufel,-,1
IFH1,RPL39,teufel,NA,1
STE12,BUD19,teufel,+,1
TEC1,SWE1,teufel,+,1
STE12,SWE1,teufel,+,1
TEC1,MNN5,teufel,+,1
CBF1,MNN5,teufel,+,1
ABF1,GON7,teufel,+,1
ABF1,MNN11,teufel,+,1
YRM1,PFD1,teufel,NA,1
IFH1,RPL17B,teufel,NA,1
SFP1,RPL17B,teufel,NA,1
RAP1,RPL17B,teufel,+,1
FHL1,RPL17B,teufel,NA,1
ABF1,SWI3,teufel,NA,1
ABF1,KRE9,teufel,+,1
GLN3,CPS1,teufel,NA,1
MSN2,YJL171C,teufel,NA,1
STE12,ASG7,teufel,both,1
STE12,SET2,teufel,NA,1
ABF1,SET2,teufel,NA,1
CBF1,ERG20,teufel,+,1
INO4,ERG20,teufel,+,1
CBF1,QCR8,teufel,-,1
ABF1,QCR8,teufel,+,1
MSN2,HAL5,teufel,NA,1
YRM1,HAL5,teufel,NA,1
YAP1,TPK1,teufel,NA,1
MSN2,TPK1,teufel,NA,1
STE12,JJJ2,teufel,NA,1
SWI5,HSP150,teufel,+,1
ABF1,HSP150,teufel,NA,1
ACE2,HSP150,teufel,+,1
YAP1,HSP150,teufel,both,1
RLM1,HSP150,teufel,+,1
REB1,CIS3,teufel,+,1
TEC1,CIS3,teufel,NA,1
SWI4,CIS3,teufel,+,1
PHO4,CIS3,teufel,+,1
SKN7,CIS3,teufel,+,1
CBF1,CIS3,teufel,-,1
PHD1,CIS3,teufel,NA,1
SWI6,CIS3,teufel,NA,1
MCM1,CIS3,teufel,+,1
RAP1,CIS3,teufel,+,1
RLM1,CIS3,teufel,+,1
STE12,FAR1,teufel,+,1
MCM1,FAR1,teufel,+,1
CBF1,SNA3,teufel,both,1
INO4,SNA3,teufel,-,1
FHL1,SNA3,teufel,NA,1
MAC1,DAS1,teufel,NA,1
YHP1,RPA34,teufel,NA,1
GCN4,RPA34,teufel,-,1
HSF1,RPA34,teufel,+,1
ACE2,RPA34,teufel,NA,1
SFP1,RPA34,teufel,NA,1
MSN2,RPA34,teufel,-,1
MCM1,RPA34,teufel,-,1
RAP1,RPA34,teufel,-,1
RLM1,RPA34,teufel,-,1
TEC1,SFH5,teufel,+,1
STE12,SFH5,teufel,NA,1
ABF1,SFH5,teufel,+,1
HSF1,YJL144W,teufel,NA,1
STE12,YJL144W,teufel,NA,1
MSN2,YAK1,teufel,+,1
STE12,RPB4,teufel,NA,1
