substrate,tf,alpha
AIM17,CAD1,0.247235
AIM17,MSN2,-0.204346
AIM17,OAF1,0.000000
AIM17,PDR1,0.025642
AIM18,STE12,0.016573
AIM19,CBF1,-0.014051
AIM20,ASH1,-0.410407
AIM22,STE12,-0.125557
AIM26,MSN2,-0.167506
AIM26,SKN7,0.000000
AIM26,STE12,0.026394
AIM29,CIN5,0.000000
AIM29,MSN2,-0.275734
AIM29,STE12,0.019300
AIM33,YAP1,-0.035948
AIM37,SOK2,-0.364651
AIM44,ACE2,0.303987
AIM44,SWI5,0.376627
AIM7,CIN5,0.102095
AIM7,ZAP1,-0.471647
AIM9,ACE2,0.160921
AIP1,RAP1,-0.163571
AIR1,STE12,0.019317
AKR1,AFT1,0.050728
ALD2,STE12,-0.028647
ALD3,CAD1,0.413326
ALD3,MSN2,-0.032419
ALD4,ADR1,0.078159
ALD4,PDR1,0.070211
ALD4,RAP1,-0.178103
ALD5,ABF1,0.000000
ALD5,ADR1,0.000000
ALD5,CIN5,0.000000
ALD5,GCN4,0.034478
ALD5,MSN2,-0.079354
ALD5,PHO4,0.145970
ALD5,RAP1,0.000000
ALD5,SOK2,0.253012
ALD5,STE12,0.271925
ALD5,YAP1,0.000000
ALD6,ADR1,0.050396
ALD6,GCN4,-0.016181
ALD6,MSN2,-0.009954
ALD6,SOK2,0.000000
ALD6,STB5,0.000000
ALD6,STE12,-0.067766
ALD6,YAP1,-0.117693
ALD6,YRM1,0.000000
ALF1,ABF1,-0.083713
ALF1,STE12,-0.038958
ALG13,RPN4,-0.232889
ALG13,STE12,-0.011645
ALG14,ASH1,0.246261
ALG14,CIN5,0.269557
ALG14,MBP1,-0.029105
ALG14,SWI4,0.138612
ALG3,RAP1,0.088845
ALG5,RAP1,0.097998
ALO1,MSN2,-0.213880
ALO1,YAP7,0.134781
ALR2,STE12,-0.077516
ALT1,CIN5,0.031388
ALT2,ADR1,0.133819
ALT2,MSN2,0.003014
ALY2,TEC1,-0.075292
AMN1,ACE2,0.103602
AMN1,STE12,0.097596
AMN1,SWI5,0.617283
ANB1,HAP1,0.181548
ANB1,MOT3,0.029430
ANB1,MSN4,0.000000
ANB1,ROX1,0.000000
ANB1,STE12,-0.006605
ANP1,ABF1,0.240561
ANT1,ABF1,0.110757
APA2,STE12,-0.046279
APC2,BAS1,0.043085
APD1,MSN2,-0.231305
APE2,RAP1,-0.200414
APE2,STE12,-0.021086
APE2,TEC1,-0.093174
API2,ABF1,0.147955
API2,RAP1,-0.110198
API2,TUP1,0.000000
APJ1,MSN2,0.021369
APJ1,MSN4,0.004851
APL3,STE12,0.000000
APL3,TEC1,-0.220568
APL4,UME6,0.028987
APL5,AFT1,0.115796
APP1,CBF1,-0.151692
APT2,ABF1,0.015293
APT2,MIG1,0.194318
APT2,MSN2,-0.031239
APT2,RAP1,-0.141168
APT2,TUP1,0.163553
AQR1,GCN4,0.145131
AQR1,MSN2,0.074587
AQR1,NRG1,-0.091946
AQR1,RDS2,-0.127950
AQR1,SOK2,0.261268
AQR1,SPT23,0.015504
AQY1,SOK2,0.000198
AQY1,STE12,-0.124010
AQY1,TEC1,0.000000
AQY2,FLO8,0.085027
AQY2,SFL1,0.000000
AQY2,STE12,-0.125656
AQY2,TEC1,-0.132936
ARB1,HSF1,0.208821
ARC19,PDR3,0.067290
ARD1,SOK2,-0.023527
ARE2,OAF3,-0.403496
ARE2,PDR3,0.162139
ARE2,RAP1,-0.032017
ARE2,TEC1,0.000000
ARE2,YAP1,-0.105236
ARE2,YRM1,-0.022563
ARF1,RAP1,0.134004
ARG1,ABF1,-0.088105
ARG1,ARG80,0.084016
ARG1,ARG81,-0.003749
ARG1,GCN4,0.023428
ARG1,GLN3,0.085165
ARG1,MCM1,0.000000
ARG1,SKN7,0.000000
ARG1,STP1,-0.038888
ARG1,TEC1,0.313598
ARG1,YAP5,0.000000
ARG2,GCN4,0.101203
ARG3,ARG80,-0.046658
ARG3,ARG81,-0.177813
ARG3,ASH1,0.004002
ARG3,GCN4,0.000000
ARG3,GLN3,-0.138708
ARG3,RAP1,0.053474
ARG3,RFX1,-0.210772
ARG3,STE12,0.136607
ARG4,GCN4,-0.021803
ARG4,GLN3,-0.024241
ARG4,INO2,0.099332
ARG4,RTG3,0.000000
ARG4,YAP1,0.000000
ARG4,YAP5,0.000000
ARG5_6,ARG80,0.098588
ARG5_6,ARG81,-0.091308
ARG5_6,GCN4,-0.015931
ARG5_6,LEU3,0.045910
ARG5_6,SOK2,-0.058839
ARG5_6,YAP1,-0.250301
ARG7,ABF1,-0.209900
ARG7,GCN4,0.024227
ARG8,ARG80,0.000000
ARG8,ARG81,-0.143586
ARG8,DAL82,0.054681
ARG8,GCN4,0.000000
ARG80,MSN2,-0.222264
ARG80,OAF1,0.000000
ARG80,TEC1,-0.068466
ARI1,CIN5,0.237892
ARI1,SOK2,0.042475
ARI1,YOX1,-0.046763
ARN1,AFT1,0.261336
ARN1,BAS1,-0.246268
ARN1,FLO8,0.101281
ARN1,MSN4,-0.036966
ARN1,YHP1,0.000000
ARN2,AFT1,-0.007306
ARN2,MSN4,0.026217
ARO1,GCN4,0.001281
ARO1,HSF1,-0.214491
ARO1,MSN2,0.000000
ARO1,RPN4,0.048124
ARO2,GCN4,0.097785
ARO2,MSN2,-0.155214
ARO2,PHO4,0.000000
ARO3,ABF1,-0.101429
ARO3,GCN4,0.000000
ARO3,UME6,0.000000
ARO4,CBF1,0.000000
ARO4,GCN4,0.090178
ARO4,SOK2,0.011319
ARO7,DIG1,-0.047402
ARO7,HAP4,0.163456
ARO7,SOK2,0.086117
ARO8,GCN4,0.020271
ARO9,ABF1,-0.353631
ARO9,ARO80,0.000000
ARO9,MCM1,0.000000
ARO9,MOT3,0.017705
ARO9,MSN2,0.234747
ARO9,PHO4,-0.202306
ARO9,STE12,-0.110523
ARO9,UME6,-0.107572
ARO9,YAP1,0.000000
ARR2,ARR1,0.125095
ARR2,YAP1,0.000000
ARR3,ARR1,-0.094248
ARR3,YAP1,-0.170802
ART10,STE12,-0.016064
ASC1,FHL1,0.462881
ASC1,IFH1,-0.173804
ASC1,RAP1,0.044225
ASE1,ABF1,0.389464
ASE1,MCM1,0.000000
ASE1,XBP1,-0.198996
ASE1,YAP1,-0.076138
ASF1,CBF1,0.071499
ASF1,MSN2,0.000000
ASF1,RAP1,-0.187831
ASF1,YHP1,-0.311827
ASF2,GCN4,-0.039775
ASG7,STE12,0.024263
ASG7,YAP5,-0.125082
ASH1,ACE2,0.189861
ASH1,MBP1,-0.123461
ASH1,SOK2,0.001622
ASH1,SWI5,0.531899
ASK1,CIN5,-0.013561
ASK1,OAF1,0.090130
ASK1,OAF3,0.044114
ASM4,STE12,0.009359
ASN1,GCN4,0.033411
ASN1,HAP2,-0.000829
ASN2,ACE2,0.000000
ASN2,GCN4,-0.134007
ASP1,ABF1,0.268528
ASR1,RAP1,-0.058508
ASR1,STE12,-0.105954
ATC1,GLN3,0.257991
ATF1,CBF1,0.005296
ATF1,RAP1,0.088893
ATF1,RFX1,0.233358
ATF1,SPT23,0.045328
ATF1,SWI4,0.344304
ATF2,FHL1,0.489581
ATF2,SOK2,0.148167
ATG1,GCN4,0.000000
ATG1,MSN2,0.000000
ATG1,RPN4,-0.150800
ATG11,SOK2,0.143389
ATG11,STE12,-0.151977
ATG13,GCN4,-0.048104
ATG15,MSN2,0.089767
ATG15,RAP1,0.000000
ATG15,STE12,0.003472
ATG19,HSF1,-0.066575
ATG19,OAF1,0.000000
ATG19,RPN4,-0.304316
ATG19,SPT23,-0.021794
ATG19,STE12,-0.145058
ATG26,RAP1,0.315768
ATG27,GAT3,-0.006230
ATG33,ABF1,-0.297773
ATG33,GCN4,-0.036631
ATG33,MSN2,-0.256228
ATG34,OAF1,-0.080444
ATG34,PDR3,0.064083
ATG34,STE12,0.000000
ATG8,UME6,-0.050937
ATH1,AFT1,-0.062685
ATH1,GCN4,0.000000
ATH1,STE12,0.000000
ATO2,STE12,-0.031129
ATO3,ABF1,-0.110357
ATO3,ADR1,-0.042533
ATO3,CAT8,0.000000
ATO3,SOK2,0.493502
ATO3,STE12,0.000000
ATP1,HAP2,0.102349
ATP14,HAP2,0.171562
ATP14,HAP4,0.311557
ATP14,SOK2,-0.057787
ATP15,HAP2,0.000000
ATP15,HAP4,0.346527
ATP16,CIN5,0.000000
ATP16,HAP4,0.032082
ATP16,MBP1,0.000000
ATP16,PHO4,0.058364
ATP17,ARO80,-0.051566
ATP17,HAP4,0.175628
ATP18,RDS2,0.148679
ATP2,HAP2,0.000000
ATP2,HAP4,0.107582
ATP2,RDS2,0.000000
ATP20,HAP2,0.093773
ATP20,HAP4,0.408256
ATP25,BAS1,-0.001530
ATP25,STE12,-0.138492
ATP3,HAP4,0.064023
ATP3,HAP5,0.033190
ATP5,HAP4,0.191033
ATP7,CBF1,0.103213
ATP7,GCN4,0.136464
ATP7,HAP4,0.269769
ATP7,RAP1,0.000000
ATP7,RPN4,-0.099739
ATR1,CIN5,0.000000
ATR1,FHL1,-0.135758
ATR1,GCN4,0.122578
ATR1,MSN2,0.000000
ATR1,MSN4,0.000000
ATR1,PHD1,0.149652
ATR1,PUT3,0.000000
ATR1,RIM101,0.184420
ATR1,YAP1,0.000000
ATX1,AFT2,-0.142335
ATX1,CBF1,0.050137
ATX1,PUT3,0.268268
AUS1,STE12,0.180536
AUS1,SUM1,-0.065961
AVL9,STE12,-0.092799
AVL9,UME6,0.061866
AVT1,CIN5,0.009703
AVT4,RAP1,0.080114
AVT6,RAP1,-0.180338
AVT6,STE12,-0.003735
AXL2,MSS11,0.000000
AXL2,STE12,0.066969
AXL2,TEC1,0.406591
AXL2,YOX1,0.254841
AZR1,YAP1,-0.040712
BAP2,DAL81,-0.010628
BAP2,GCN4,-0.001288
BAP2,MSN2,-0.031915
BAP2,RAP1,0.065645
BAP2,SFP1,0.000000
BAP2,SOK2,-0.028535
BAP2,STP1,-0.112681
BAP2,STP2,-0.027894
BAP3,ABF1,0.106381
BAP3,MSN2,-0.172861
BAP3,RAP1,0.017429
BAP3,STP1,0.026900
BAR1,MCM1,0.000000
BAR1,STE12,0.000000
BAR1,SWI5,0.128274
BAR1,SWI6,0.000000
BAR1,TEC1,0.034050
BAS1,SIP4,0.242028
BAT1,PHD1,-0.183402
BAT2,ABF1,-0.144764
BAT2,ACE2,-0.061355
BAT2,ADR1,0.097422
BAT2,CIN5,0.210150
BAT2,GLN3,0.202257
BAT2,HMS2,-0.065361
BAT2,RDS2,0.008344
BAT2,RTG3,0.000000
BAT2,SKN7,0.000000
BAT2,STB5,0.058899
BAT2,TEC1,-0.091247
BAT2,TOS8,-0.056044
BBP1,STE12,0.147088
BCH2,STE12,-0.009082
BCY1,RAP1,-0.069482
BCY1,UME6,-0.074676
BDF2,ABF1,0.087881
