substrate,q_x,boot_robust_frac,mean_n_sources,transfer_r_median,repressor_score,carries_repressor,n_repressor_edges,n_edges,n_robust_edges,periodicity_pvalue,score,tier,reason,apply_multiplier,recommended_fallback
GCN20,0.5429,1.0000,1.0000,0.1458,1.0000,false,0,1,1,2.5664,0.6044,DO-NOT-USE,non-periodic,false,flat_M1
GCN4,0.3016,1.0000,2.0000,0.0682,1.0000,false,0,1,1,0.246939,0.6073,DO-NOT-USE,non-periodic,false,flat_M1
GCR1,0.9107,1.0000,0.0000,0.3058,1.0000,false,0,1,1,3.68482e-05,0.6433,USE,,true,none
GCS1,0.2359,1.0000,3.0000,0.2866,1.0000,false,0,1,1,27.9871,0.7045,DO-NOT-USE,non-periodic,false,flat_M1
GCV1,0.8121,1.0000,2.0000,-0.4175,1.0000,false,0,1,1,0.000614925,0.6958,USE,,true,none
GCV2,0.9338,0.0000,2.0000,0.4477,1.0000,false,0,2,0,3.9525e-08,0.6096,USE,,true,none
GCV3,0.7919,0.3333,2.0000,0.0560,1.0000,false,0,3,1,5.90894e-05,0.5696,USE,,true,none
GCY1,0.6974,1.0000,2.0000,-0.5363,1.0000,false,0,2,2,0.000376183,0.6728,USE,,true,none
GDA1,0.9542,1.0000,2.0000,0.1865,1.0000,false,0,1,1,2.09664e-07,0.7615,USE,,true,none
GDB1,0.7466,0.3333,1.6667,0.0631,1.0000,false,0,3,1,0.0297896,0.5397,USE,,true,none
GDE1,0.1594,1.0000,2.0000,-0.4621,1.0000,false,0,1,1,1.98647,0.5652,DO-NOT-USE,non-periodic,false,flat_M1
GDH1,0.5757,0.0000,2.0000,-0.0102,1.0000,false,0,5,0,0.503697,0.4485,DO-NOT-USE,non-periodic;over-parameterized,false,flat_M1
GDH2,0.0805,0.5000,1.5000,0.2904,1.0000,false,0,2,1,68.3698,0.4742,DO-NOT-USE,non-periodic,false,flat_M1
GDH3,0.7359,0.0000,0.8000,-0.4507,1.0000,false,0,5,0,3.27634e-05,0.4005,DO-NOT-USE,over-parameterized,false,flat_M1
GDI1,0.1400,1.0000,1.0000,-0.3421,1.0000,false,0,1,1,4.41859,0.4947,DO-NOT-USE,non-periodic,false,flat_M1
GDS1,0.6363,0.0000,2.0000,0.2254,1.0000,false,0,2,0,0.00833819,0.5057,USE,,true,none
GEA2,0.0450,0.5000,1.0000,0.0770,1.0000,false,0,2,1,66.3374,0.3911,DO-NOT-USE,non-periodic,false,flat_M1
GEF1,0.1519,1.0000,1.0000,0.1519,1.0000,false,0,1,1,87.4246,0.5274,DO-NOT-USE,non-periodic,false,flat_M1
GFA1,0.9257,0.5000,1.5000,-0.1290,1.0000,false,0,2,1,5.5271e-05,0.5851,USE,,true,none
GFD1,0.6008,1.0000,2.0000,0.1883,1.0000,false,0,1,1,0.000854692,0.6912,USE,,true,none
GGC1,0.5288,1.0000,3.0000,-0.0437,1.0000,false,0,1,1,0.0312766,0.7058,USE,,true,none
GIC1,0.9757,1.0000,2.0000,-0.1605,1.0000,false,0,1,1,8.94197e-11,0.7285,USE,,true,none
GIC2,0.9490,0.1667,1.8333,-0.0615,1.0000,false,0,6,1,1.36542e-16,0.5454,USE,,true,none
GID7,0.0504,1.0000,1.0000,-0.0882,1.0000,false,0,1,1,293.018,0.4767,DO-NOT-USE,non-periodic,false,flat_M1
GID8,0.4813,0.5000,2.5000,-0.1360,0.5000,true,1,2,1,0.0263501,0.4629,CAUTION,,false,damped
GIM3,0.7983,1.0000,0.0000,0.2829,1.0000,false,0,1,1,0.000597329,0.6162,USE,,true,none
GIM5,0.3978,1.0000,2.0000,-0.1201,1.0000,false,0,1,1,0.302319,0.6129,DO-NOT-USE,non-periodic,false,flat_M1
GIR2,0.8186,1.0000,1.0000,0.4869,1.0000,false,0,1,1,0.000900557,0.7278,USE,,true,none
GIS1,0.5002,0.5000,1.5000,0.1698,1.0000,false,0,2,1,11.2303,0.5340,DO-NOT-USE,non-periodic,false,flat_M1
GIS2,0.5354,1.0000,2.0000,0.4473,1.0000,false,0,1,1,0.349335,0.7299,DO-NOT-USE,non-periodic,false,flat_M1
GIS3,0.0761,0.0000,2.0000,0.1287,1.0000,false,0,3,0,58.0165,0.3743,DO-NOT-USE,non-periodic,false,flat_M1
GIS4,0.7023,1.0000,1.0000,0.6481,1.0000,false,0,1,1,0.137712,0.7367,DO-NOT-USE,non-periodic,false,flat_M1
GLC3,0.8765,0.0000,1.5000,-0.0954,1.0000,false,0,2,0,0.000438349,0.4753,CAUTION,,false,damped
GLC7,0.0901,1.0000,2.0000,-0.1619,1.0000,false,0,1,1,0.0998652,0.5514,DO-NOT-USE,non-periodic,false,flat_M1
GLK1,0.9456,0.0000,2.0000,-0.4781,1.0000,false,0,2,0,8.23417e-12,0.5225,USE,,true,none
GLN1,0.8866,0.0000,1.2500,-0.6437,0.0000,true,1,4,0,2.96817e-07,0.2607,DO-NOT-USE,sign-unstable;over-parameterized,false,flat_M1
GLN3,0.1950,1.0000,3.0000,0.0837,1.0000,false,0,1,1,0.259443,0.6557,DO-NOT-USE,non-periodic,false,flat_M1
