substrate,cyclebase_rank,periodicity_pvalue,peaktime_pct,q_x,q_rank,q_sigmoid,q_pcomplement,multiplier_amplitude
HHO1,18,1.12963e-18,38.0,0.9972,0.9972,0.9998,1.0,1.1629
HHT1,33,3.86822e-20,38.0,0.9948,0.9948,0.9999,1.0,1.2141
HHT2,51,5.44018e-18,38.0,0.9919,0.9919,0.9997,1.0,1.8022
HIP1,3076,4.88957,66.0,0.4989,0.4989,0.2699,0,0.7208
HIR2,2936,6.81745,25.0,0.5218,0.5218,0.2559,0,1.2714
HIS1,2345,0.0852418,70.0,0.6181,0.6181,0.4711,0.9148,0.8827
HIS2,5588,1.7422,79.0,0.0896,0.0896,0.3162,0,1.0793
HIS3,3572,0.00253811,84.0,0.4181,0.4181,0.6564,0.9975,0.3952
HIS4,883,8.62469e-07,58.0,0.8563,0.8563,0.9154,1.0,0.4642
HIS5,3970,0.130123,55.0,0.3533,0.3533,0.4483,0.8699,0.3952
HIS6,1427,0.000512439,70.0,0.7676,0.7676,0.73,0.9995,1.486
HIS7,2270,0.0123569,76.0,0.6303,0.6303,0.5753,0.9876,0.8216
HIT1,2636,0.000169574,79.0,0.5706,0.5706,0.7747,0.9998,1.2714
HLR1,237,1.39639e-12,10.0,0.9615,0.9615,0.9949,1.0,2.1175
HMF1,5953,11.8882,75.0,0.0301,0.0301,0.2336,0,0.7909
HMG1,2103,2.1038e-06,76.0,0.6575,0.6575,0.8992,1.0,0.6385
HMG2,5045,16.4438,12.0,0.1781,0.1781,0.2212,0,0.9292
HMO1,4109,0.704477,67.0,0.3306,0.3306,0.3602,0.2955,0.9292
HMRA1,3179,0.305863,84.0,0.4822,0.4822,0.4029,0.6941,1.0096
HMS2,1919,3.56e-05,45.0,0.6875,0.6875,0.8283,1.0,0.3727
HMX1,2576,3.44449,70.0,0.5804,0.5804,0.2851,0,0.9916
HNM1,4457,4.12472,70.0,0.2739,0.2739,0.2772,0,0.9258
HNT1,2676,1.9863,80.0,0.5641,0.5641,0.3101,0,0.9292
HOC1,2785,13.8468,47.0,0.5464,0.5464,0.2277,0,1.0096
HOF1,113,9.33453e-19,71.0,0.9818,0.9818,0.9998,1.0,0.9292
HOG1,5051,12.1758,42.0,0.1771,0.1771,0.2327,0,0.8096
HOM2,4191,0.636723,58.0,0.3173,0.3173,0.3653,0.3633,0.8669
HOM3,5338,6.79696,51.0,0.1304,0.1304,0.256,0,0.3952
HOM6,4763,0.834207,93.0,0.2241,0.2241,0.3518,0.1658,1.0096
HOR2,1396,2.90776e-05,10.0,0.7727,0.7727,0.8345,1.0,0.9444
HOR7,412,5.59273e-08,3.0,0.933,0.933,0.9515,1.0,1.3399
HOS2,5567,2.45883,68.0,0.093,0.093,0.3003,0,0.933
HOS3,98,1.13776e-12,48.0,0.9842,0.9842,0.9951,1.0,0.7136
HOS4,2509,0.000431207,66.0,0.5913,0.5913,0.7373,0.9996,1.2714
HOT13,3129,0.0388579,40.0,0.4903,0.4903,0.5137,0.9611,0.8325
HPA3,1044,2.17638e-06,5.0,0.83,0.83,0.8985,1.0,1.2714
HPF1,785,9.94917e-07,39.0,0.8723,0.8723,0.913,1.0,1.0793
HPT1,2688,0.000129193,7.0,0.5622,0.5622,0.7848,0.9999,0.5125
HRB1,3198,0.000126266,78.0,0.4791,0.4791,0.7856,0.9999,0.397
HRP1,1141,0.000686147,17.0,0.8142,0.8142,0.7173,0.9993,1.0793
HRR25,3296,0.00266483,91.0,0.4631,0.4631,0.654,0.9973,1.4361
HSC82,1668,0.00317691,86.0,0.7284,0.7284,0.6453,0.9968,0.6757
HSL1,65,2.00383e-15,26.0,0.9896,0.9896,0.9988,1.0,1.3885
HSL7,446,2.2131e-06,59.0,0.9275,0.9275,0.8982,1.0,1.3559
HSP10,3403,0.00190615,90.0,0.4457,0.4457,0.6703,0.9981,0.9286
HSP104,1441,7.14377e-06,3.0,0.7654,0.7654,0.8724,1.0,0.5751
HSP12,1649,7.56155e-05,15.0,0.7315,0.7315,0.8038,0.9999,1.6117
HSP150,68,1.51692e-18,98.0,0.9891,0.9891,0.9997,1.0,0.9757
HSP26,927,0.0050235,9.0,0.8491,0.8491,0.6222,0.995,0.5817
HSP31,3785,0.211584,18.0,0.3834,0.3834,0.4223,0.7884,0.4238
HSP42,721,2.61966e-05,11.0,0.8827,0.8827,0.8376,1.0,0.9291
HSP60,1400,0.00433005,28.0,0.772,0.772,0.6298,0.9957,0.6771
HSP78,2216,0.0106105,99.0,0.6391,0.6391,0.5834,0.9894,0.4982
HSP82,1303,0.000113976,3.0,0.7878,0.7878,0.7894,0.9999,0.6337
HST2,1070,0.00109035,5.0,0.8258,0.8258,0.6965,0.9989,1.1714
HST3,138,7.7028e-16,68.0,0.9777,0.9777,0.999,1.0,1.0423
HSV2,5643,19.0108,96.0,0.0807,0.0807,0.2159,0,0.5125
HTA1,30,4.36126e-20,39.0,0.9953,0.9953,0.9999,1.0,1.6038
HTA2,23,4.76592e-21,40.0,0.9964,0.9964,0.9999,1.0,1.4329
HTB1,26,8.2261e-20,39.0,0.9959,0.9959,0.9999,1.0,1.7185
HTB2,19,7.18631e-21,39.0,0.9971,0.9971,0.9999,1.0,0.9234
HTZ1,164,1.23447e-14,50.0,0.9734,0.9734,0.9982,1.0,1.0863
HUA1,2959,5.27468,89.0,0.518,0.518,0.2667,0,0.9292
HXK1,572,4.30023e-07,16.0,0.907,0.907,0.9264,1.0,1.3046
HXK2,561,7.81593e-05,26.0,0.9088,0.9088,0.8027,0.9999,0.6338
HXT1,1832,0.000795994,19.0,0.7016,0.7016,0.7108,0.9992,0.5193
HXT2,143,8.82592e-16,5.0,0.9769,0.9769,0.999,1.0,0.6881
HXT3,1706,4.89546e-06,1.0,0.7222,0.7222,0.8813,1.0,0.5729
HXT4,626,2.62152e-07,10.0,0.8982,0.8982,0.9334,1.0,0.659
HXT7,563,4.88392e-05,6.0,0.9084,0.9084,0.8183,1.0,1.9579
HYM1,2557,0.01504,90.0,0.5835,0.5835,0.5648,0.985,1.0793
HYP2,3753,0.236658,70.0,0.3886,0.3886,0.4164,0.7633,0.6988
IAH1,647,7.12828e-08,94.0,0.8947,0.8947,0.949,1.0,0.7277
IBA57,4643,17.1917,89.0,0.2436,0.2436,0.2196,0,1.1113
ICE2,4306,3.37815,80.0,0.2985,0.2985,0.286,0,1.0438
ICL2,3967,0.00108268,97.0,0.3538,0.3538,0.6968,0.9989,0.6669
ICP55,1258,0.0128867,91.0,0.7952,0.7952,0.5731,0.9871,0.496
ICT1,1893,0.00620826,55.0,0.6917,0.6917,0.6114,0.9938,0.7939
ICY1,1527,2.77955e-05,20.0,0.7513,0.7513,0.8358,1.0,1.7741
ICY2,1645,4.9244e-08,41.0,0.7321,0.7321,0.9527,1.0,0.3952
IDH1,643,1.97085e-06,51.0,0.8954,0.8954,0.9004,1.0,0.732
IDH2,2915,3.33211e-05,28.0,0.5252,0.5252,0.8304,1.0,0.6283
IDI1,2361,0.0181617,95.0,0.6154,0.6154,0.5548,0.9818,1.2109
IDP1,4980,0.217694,1.0,0.1887,0.1887,0.4208,0.7823,0.3952
IES1,5027,0.291345,73.0,0.181,0.181,0.4055,0.7087,0.7621
IES5,2423,0.0085768,90.0,0.6053,0.6053,0.5946,0.9914,0.7643
IES6,2046,0.193366,59.0,0.6668,0.6668,0.4271,0.8066,0.8006
IFA38,2900,4.2089,56.0,0.5276,0.5276,0.2764,0,0.8525
IKI3,807,0.000540376,83.0,0.8687,0.8687,0.7277,0.9995,3.4735
IKS1,2371,0.108428,89.0,0.6138,0.6138,0.4581,0.8916,0.5125
ILM1,3893,21.7842,34.0,0.3658,0.3658,0.2109,0,1.2109
ILS1,2430,0.158744,72.0,0.6042,0.6042,0.4376,0.8413,0.3952
ILV1,5103,58.0337,46.0,0.1686,0.1686,0.1776,0,0.3952
ILV2,4452,0.0392907,60.0,0.2747,0.2747,0.5131,0.9607,0.7869
ILV3,2916,0.00750262,58.0,0.525,0.525,0.6015,0.9925,0.9544
ILV5,5099,0.444564,32.0,0.1693,0.1693,0.3836,0.5554,0.3952
ILV6,5104,0.990691,52.0,0.1685,0.1685,0.3433,0.0093,1.0793
IMD2,4370,0.0859541,73.0,0.2881,0.2881,0.4706,0.914,1.0096
IMD3,3344,0.0162711,73.0,0.4553,0.4553,0.5606,0.9837,2.1657
IMD4,3493,0.0112723,46.0,0.431,0.431,0.5802,0.9887,0.6569
IME4,3504,0.229859,56.0,0.4292,0.4292,0.4179,0.7701,0.8675
IML1,1412,0.0030659,53.0,0.7701,0.7701,0.6471,0.9969,1.2714
IML2,3433,0.638675,95.0,0.4408,0.4408,0.3651,0.3613,1.2109
INH1,4094,0.968463,97.0,0.3331,0.3331,0.3444,0.0315,1.1508
INP51,3014,0.0341599,74.0,0.509,0.509,0.5207,0.9658,1.0793
INP52,3494,10.6276,72.0,0.4308,0.4308,0.238,0,1.0793
INP53,2872,0.486868,99.0,0.5322,0.5322,0.3789,0.5131,1.0793
IOC2,3031,0.133982,48.0,0.5063,0.5063,0.4467,0.866,0.9292
IOC3,5687,347.376,58.0,0.0735,0.0735,0.1278,0,0.6999
IOC4,3751,0.0042041,83.0,0.389,0.389,0.6313,0.9958,0.9496
IPP1,5326,3.04983,47.0,0.1323,0.1323,0.2906,0,0.6948
IPT1,3527,0.0750964,82.0,0.4255,0.4255,0.4779,0.9249,0.593
IQG1,497,2.00332e-08,70.0,0.9192,0.9192,0.9608,1.0,2.203
IRA1,699,0.00440541,87.0,0.8863,0.8863,0.6289,0.9956,1.0793
IRA2,1816,0.361276,71.0,0.7043,0.7043,0.3943,0.6387,0.7942
IRC18,5681,0.523095,19.0,0.0745,0.0745,0.3752,0.4769,0.7304
IRC22,5306,0.320252,51.0,0.1356,0.1356,0.4005,0.6797,1.0096
IRC3,4423,0.0748478,69.0,0.2795,0.2795,0.4781,0.9252,0.891
IRC5,1443,0.151762,24.0,0.765,0.765,0.44,0.8482,0.7857
ISA1,3481,0.0473518,47.0,0.4329,0.4329,0.503,0.9526,0.3952
ISC1,1103,1.67509e-08,37.0,0.8204,0.8204,0.9622,1.0,1.0096
ISD11,,,,,,,,1.0793
ISM1,4456,0.110956,79.0,0.2741,0.2741,0.4568,0.889,3.4735
ISR1,273,2.30295e-10,33.0,0.9557,0.9557,0.9848,1.0,1.1481
ISU1,3416,0.0263298,61.0,0.4435,0.4435,0.5348,0.9737,1.1769
ISU2,3514,0.0492392,50.0,0.4276,0.4276,0.5008,0.9508,1.2668
ISW2,5229,0.650108,38.0,0.1481,0.1481,0.3642,0.3499,0.9292
ITC1,3128,0.0237712,69.0,0.4905,0.4905,0.5403,0.9762,1.1481
ITR1,3964,0.145362,39.0,0.3542,0.3542,0.4423,0.8546,0.5826
IXR1,1316,0.0012749,46.0,0.7857,0.7857,0.6893,0.9987,0.665
IZH1,796,3.25536e-06,65.0,0.8705,0.8705,0.8902,1.0,1.2109
IZH2,1051,3.1893e-05,96.0,0.8289,0.8289,0.8317,1.0,1.3755
IZH3,5859,60.6034,67.0,0.0455,0.0455,0.1763,0,0.6764
JEN1,4876,2.11101,0.0,0.2056,0.2056,0.3073,0,0.7198
JHD2,5618,4.67973,93.0,0.0847,0.0847,0.2718,0,1.2109
JIP4,4950,0.0124507,83.0,0.1936,0.1936,0.5749,0.9875,0.8662
JJJ2,4312,1.59642,66.0,0.2975,0.2975,0.3204,0,1.0793
JSN1,4758,10.158,71.0,0.2249,0.2249,0.2398,0,0.8114
KAE1,5779,226.836,48.0,0.0585,0.0585,0.1384,0,0.7333
KAP123,1191,0.000675175,67.0,0.8061,0.8061,0.718,0.9993,1.0863
KAR2,651,5.44606e-05,28.0,0.8941,0.8941,0.8148,0.9999,0.4432
KAR3,400,1.48591e-12,39.0,0.935,0.935,0.9948,1.0,1.0793
KAR4,2036,5.65296e-10,0.0,0.6684,0.6684,0.9815,1.0,0.5767
KAR5,1106,0.000118184,78.0,0.8199,0.8199,0.788,0.9999,0.3952
KDX1,1814,0.264235,15.0,0.7046,0.7046,0.4106,0.7358,0.5817
KEG1,4802,169.601,7.0,0.2177,0.2177,0.1461,0,0.5754
KEL1,1603,0.743064,24.0,0.739,0.739,0.3575,0.2569,0.8651
KEL2,645,2.43594e-05,14.0,0.8951,0.8951,0.8397,1.0,0.4738
KEX1,3054,0.168901,62.0,0.5025,0.5025,0.4343,0.8311,2.1657
KGD1,5851,237.444,9.0,0.0468,0.0468,0.1373,0,0.5675
KIC1,4083,0.000828704,60.0,0.3349,0.3349,0.7089,0.9992,1.436
KIN1,2433,0.652288,98.0,0.6037,0.6037,0.3641,0.3477,0.5761
KIN2,2513,0.0081779,85.0,0.5907,0.5907,0.597,0.9918,1.0438
KIN3,123,6.81589e-15,80.0,0.9801,0.9801,0.9984,1.0,1.04
KIN4,473,5.09516e-06,48.0,0.9231,0.9231,0.8804,1.0,3.4735
KIP1,243,4.42421e-10,41.0,0.9606,0.9606,0.9825,1.0,1.0793
KNS1,1398,0.00110535,2.0,0.7724,0.7724,0.6959,0.9989,0.9606
KOG1,3767,0.00379817,78.0,0.3863,0.3863,0.6364,0.9962,1.0793
KRE1,3122,0.0401373,17.0,0.4914,0.4914,0.5119,0.9599,0.9292
KRE2,5830,46.9243,97.0,0.0502,0.0502,0.1845,0,1.5064
KRE33,1322,3.42294e-06,76.0,0.7847,0.7847,0.8892,1.0,1.1786
KRE6,957,4.531e-05,35.0,0.8442,0.8442,0.8207,1.0,0.7775
KRE9,2534,3.7254,49.0,0.5873,0.5873,0.2817,0,0.9292
KRR1,2115,0.000290529,85.0,0.6555,0.6555,0.7536,0.9997,0.8757
KRS1,4677,0.342627,78.0,0.2381,0.2381,0.397,0.6574,1.0793
KTI12,3257,0.000258501,77.0,0.4694,0.4694,0.7583,0.9997,0.9943
KTR2,1883,0.000142849,86.0,0.6933,0.6933,0.7811,0.9999,0.6702
KTR4,5655,48.5882,24.0,0.0787,0.0787,0.1834,0,0.9292
KXD1,4108,0.0286031,91.0,0.3308,0.3308,0.5303,0.9714,1.5064
LAC1,127,1.42721e-14,35.0,0.9795,0.9795,0.9981,1.0,0.9292
LAG2,684,0.000101215,85.0,0.8887,0.8887,0.7936,0.9999,0.7932
LAP3,5994,57.2288,97.0,0.0235,0.0235,0.1781,0,0.8935
LAS1,1080,0.000805519,70.0,0.8242,0.8242,0.7102,0.9992,1.0793
LAS17,6033,94.2677,47.0,0.0171,0.0171,0.1628,0,1.0096
LAT1,6023,28.417,7.0,0.0187,0.0187,0.2014,0,0.9292
LCB1,1625,0.70409,15.0,0.7354,0.7354,0.3602,0.2959,0.779
LCB2,4560,77.3374,46.0,0.2571,0.2571,0.1687,0,1.0096
LCB3,496,4.04648e-06,50.0,0.9193,0.9193,0.8855,1.0,1.1277
LCB4,2244,0.000293441,82.0,0.6345,0.6345,0.7532,0.9997,0.8651
LCB5,2743,0.0224481,53.0,0.5532,0.5532,0.5434,0.9776,1.1045
LCD1,3548,28.2378,32.0,0.422,0.422,0.2017,0,1.0793
LCL1,6132,164.036,80.0,0.001,0.001,0.147,0,4.267
LCL2,5903,24.3262,0.0,0.0383,0.0383,0.2069,0,1.0096
LCP5,2662,0.00150636,76.0,0.5664,0.5664,0.6815,0.9985,1.1481
LDB16,4637,1.71102,62.0,0.2446,0.2446,0.3171,0,0.9292
LDB18,3267,0.698207,88.0,0.4678,0.4678,0.3607,0.3018,0.5125
LDB7,5781,7.15936,48.0,0.0582,0.0582,0.2539,0,1.0656
LEU1,1544,0.0270277,43.0,0.7486,0.7486,0.5333,0.973,0.4505
LEU3,2261,0.000540284,72.0,0.6317,0.6317,0.7277,0.9995,0.3952
LEU4,4074,0.00799337,42.0,0.3363,0.3363,0.5982,0.992,0.492
LEU9,3082,0.13343,54.0,0.498,0.498,0.4469,0.8666,0.3952
LGE1,1802,0.00408723,58.0,0.7065,0.7065,0.6327,0.9959,1.0096
LHP1,3749,0.0164703,91.0,0.3893,0.3893,0.56,0.9835,0.8893
LHS1,4193,5.84589,17.0,0.3169,0.3169,0.2623,0,0.5754
LOC1,1410,0.00569359,77.0,0.7704,0.7704,0.6158,0.9943,0.7411
LOS1,1983,0.0110764,73.0,0.677,0.677,0.5811,0.9889,0.3952
LOT5,663,1.63823e-07,62.0,0.8921,0.8921,0.9395,1.0,0.9292
LOT6,4250,0.00189057,71.0,0.3076,0.3076,0.6707,0.9981,1.0793
LPD1,5660,0.554089,62.0,0.0779,0.0779,0.3723,0.4459,0.3952
LPX1,223,1.50654e-10,34.0,0.9638,0.9638,0.9861,1.0,0.5505
LRG1,1756,8.65641e-05,53.0,0.714,0.714,0.7991,0.9999,1.0793
LRO1,4997,35.6292,54.0,0.1859,0.1859,0.1937,0,0.9079
LRP1,1170,0.000379251,70.0,0.8095,0.8095,0.7427,0.9996,1.0615
LSB3,6097,251.791,8.0,0.0067,0.0067,0.1358,0,1.2109
LSG1,971,0.000841393,75.0,0.8419,0.8419,0.7083,0.9992,3.4735
LSP1,534,0.000329182,94.0,0.9131,0.9131,0.7485,0.9997,1.2109
LST4,3510,1.88058,63.0,0.4282,0.4282,0.3127,0,1.1028
LST8,5248,0.354974,79.0,0.145,0.145,0.3952,0.645,0.9286
LTV1,1083,0.00021956,69.0,0.8237,0.8237,0.7647,0.9998,0.9292
LYP1,4289,63.7899,49.0,0.3013,0.3013,0.1747,0,1.0096
LYS1,1536,5.15297e-05,34.0,0.7499,0.7499,0.8166,0.9999,0.4092
LYS14,1522,0.00140731,81.0,0.7522,0.7522,0.6847,0.9986,1.4347
LYS2,5314,1.34748,56.0,0.1343,0.1343,0.3284,0,0.5222
LYS20,4132,3.2791,77.0,0.3269,0.3269,0.2873,0,1.0978
LYS9,786,8.09343e-05,71.0,0.8721,0.8721,0.8015,0.9999,0.3952
MAE1,772,1.72275e-07,40.0,0.8744,0.8744,0.9389,1.0,0.5165
MAG1,3649,0.187695,92.0,0.4056,0.4056,0.4287,0.8123,0.795
MAK10,3326,0.666421,58.0,0.4582,0.4582,0.363,0.3336,0.5125
MAK16,1420,3.35207e-08,72.0,0.7688,0.7688,0.9563,1.0,1.026
MAK21,956,2.90856e-06,61.0,0.8444,0.8444,0.8926,1.0,2.203
MAK32,4533,0.521658,92.0,0.2615,0.2615,0.3754,0.4783,1.0793
MAM3,4235,6.52222,54.0,0.3101,0.3101,0.2577,0,1.0096
MAM33,3823,0.096968,23.0,0.3772,0.3772,0.4641,0.903,1.0863
MAS1,2331,0.00098789,81.0,0.6203,0.6203,0.701,0.999,1.2109
MAS2,3566,0.0117127,96.0,0.4191,0.4191,0.5781,0.9883,0.3952
MBF1,,,,,,,,1.0096
MCD1,22,6.22449e-19,20.0,0.9966,0.9966,0.9998,1.0,1.3272
MCD4,151,1.52917e-10,24.0,0.9756,0.9756,0.986,1.0,0.5754
MCH1,4851,4.93197,33.0,0.2097,0.2097,0.2695,0,0.3952
MCH4,2068,0.256896,76.0,0.6632,0.6632,0.4121,0.7431,0.3585
MCH5,3180,0.284265,96.0,0.482,0.482,0.4068,0.7157,0.8257
MCM2,235,2.92557e-12,92.0,0.9619,0.9619,0.994,1.0,1.018
MCM3,78,3.3964e-14,94.0,0.9875,0.9875,0.9977,1.0,0.9225
MCM5,41,6.27405e-16,94.0,0.9935,0.9935,0.999,1.0,1.2005
MCM7,81,1.05854e-16,88.0,0.987,0.987,0.9993,1.0,1.0112
MCR1,2582,0.000369862,94.0,0.5794,0.5794,0.7437,0.9996,0.8004
MCT1,5226,243.76,67.0,0.1486,0.1486,0.1366,0,1.2109
MDG1,814,1.18452e-07,3.0,0.8675,0.8675,0.9434,1.0,1.0793
MDH1,3133,0.00440204,47.0,0.4897,0.4897,0.6289,0.9956,1.0394
MDH2,3701,0.0949586,63.0,0.3971,0.3971,0.4652,0.905,0.5885
MDH3,5298,4.28473,7.0,0.1369,0.1369,0.2756,0,1.3755
MDJ1,2876,0.0904016,47.0,0.5315,0.5315,0.4679,0.9096,0.7763
MDM31,4683,0.113797,85.0,0.2371,0.2371,0.4555,0.8862,0.6752
MDR1,2108,0.033611,90.0,0.6567,0.6567,0.5215,0.9664,1.0793
MDS3,2637,1.9716,58.0,0.5705,0.5705,0.3105,0,1.2109
MDV1,1681,0.0367981,51.0,0.7263,0.7263,0.5166,0.9632,0.8092
MDY2,3739,0.178387,47.0,0.3909,0.3909,0.4314,0.8216,0.8396
MEC1,3366,0.105045,98.0,0.4517,0.4517,0.4598,0.895,0.6974
MED2,2812,0.0381791,92.0,0.542,0.542,0.5146,0.9618,0.9292
MEF2,2927,0.000438954,63.0,0.5232,0.5232,0.7366,0.9996,1.0438
MEH1,3743,0.174603,74.0,0.3903,0.3903,0.4325,0.8254,0.9527
MEP1,3407,7.78947,79.0,0.445,0.445,0.2504,0,1.0579
MEP3,1539,0.0107463,70.0,0.7494,0.7494,0.5827,0.9893,0.8424
MES1,4480,0.728672,85.0,0.2702,0.2702,0.3585,0.2713,1.0438
MET1,1800,1.03035e-06,56.0,0.7069,0.7069,0.9124,1.0,1.2021
MET10,2707,0.00131883,48.0,0.5591,0.5591,0.6877,0.9987,0.3952
MET12,2904,30.9791,21.0,0.527,0.527,0.1984,0,1.2109
MET13,2476,0.000808897,49.0,0.5967,0.5967,0.71,0.9992,1.0759
MET14,632,5.50752e-08,28.0,0.8972,0.8972,0.9516,1.0,0.7193
MET16,1358,4.61638e-05,53.0,0.7789,0.7789,0.8201,1.0,0.3595
MET2,2184,0.00197066,49.0,0.6443,0.6443,0.6687,0.998,0.6074
MET22,2427,0.903714,30.0,0.6047,0.6047,0.3478,0.0963,0.9787
MET28,2084,0.000147646,39.0,0.6606,0.6606,0.7799,0.9999,0.7173
MET3,640,5.37922e-09,49.0,0.8959,0.8959,0.9702,1.0,0.4752
MET30,4720,15.1795,67.0,0.2311,0.2311,0.2242,0,0.9091
MET32,5126,8.07359,45.0,0.1649,0.1649,0.249,0,0.7559
MET4,6003,137.973,92.0,0.022,0.022,0.1518,0,0.3952
MET5,1282,7.44202e-05,41.0,0.7913,0.7913,0.8043,0.9999,0.5558
MET6,1120,2.46375e-07,43.0,0.8177,0.8177,0.9342,1.0,0.4373
MET8,4699,0.0228878,8.0,0.2345,0.2345,0.5423,0.9771,0.7591
MFA1,1482,4.03013e-06,98.0,0.7587,0.7587,0.8856,1.0,0.573
MFA2,262,8.9403e-12,90.0,0.9575,0.9575,0.9924,1.0,0.7806
MFB1,418,9.14908e-08,46.0,0.9321,0.9321,0.9463,1.0,0.894
MGM1,2473,0.0025542,70.0,0.5972,0.5972,0.6561,0.9974,0.9292
MGM101,2618,0.591012,28.0,0.5736,0.5736,0.369,0.409,0.5914
MGS1,1842,0.0287682,16.0,0.7,0.7,0.53,0.9712,1.2714
MHP1,1484,0.0769591,23.0,0.7584,0.7584,0.4766,0.923,0.9292
MHR1,4357,0.000666858,77.0,0.2902,0.2902,0.7186,0.9993,0.9288
MHT1,965,8.60835e-06,53.0,0.8429,0.8429,0.8678,1.0,1.0793
MIC17,1308,0.00069113,58.0,0.787,0.787,0.717,0.9993,1.0793
MID2,3953,0.016467,47.0,0.356,0.356,0.56,0.9835,0.6294
MIG2,1085,0.00190309,71.0,0.8234,0.8234,0.6703,0.9981,0.9996
MIG3,4963,40.0307,28.0,0.1915,0.1915,0.1897,0,0.7375
MIM1,5626,11.3467,26.0,0.0834,0.0834,0.2354,0,1.0793
MIR1,5457,0.625015,67.0,0.111,0.111,0.3662,0.375,0.7837
MKC7,720,0.000840525,30.0,0.8828,0.8828,0.7083,0.9992,0.9234
MKK1,3292,0.538591,69.0,0.4637,0.4637,0.3738,0.4614,0.8651
MKT1,5667,27.5027,10.0,0.0767,0.0767,0.2026,0,0.9292
MLC1,1796,0.0588103,85.0,0.7075,0.7075,0.4912,0.9412,0.9292
MMF1,1835,0.00205836,69.0,0.7012,0.7012,0.6666,0.9979,1.0096
MMP1,1026,3.0087e-07,67.0,0.833,0.833,0.9315,1.0,1.0034
MMR1,82,5.98356e-19,70.0,0.9868,0.9868,0.9998,1.0,1.0096
MMT1,3036,21.9633,21.0,0.5055,0.5055,0.2106,0,0.5125
MNL1,3150,2.48381,33.0,0.4869,0.4869,0.2998,0,1.2356
MNN1,15,5.99365e-18,28.0,0.9977,0.9977,0.9997,1.0,1.655
MNN10,628,4.95189e-05,54.0,0.8978,0.8978,0.8179,1.0,0.9292
MNN11,594,0.000265794,52.0,0.9034,0.9034,0.7572,0.9997,0.9292
MNN4,4832,0.0143957,67.0,0.2128,0.2128,0.5672,0.9856,0.812
MNN5,2887,76.2891,44.0,0.5297,0.5297,0.1691,0,1.1701
MNN9,5317,80.4895,33.0,0.1338,0.1338,0.1675,0,1.6133
MOB1,163,1.94956e-13,70.0,0.9736,0.9736,0.9967,1.0,3.4735
MOD5,678,2.17837e-06,78.0,0.8897,0.8897,0.8985,1.0,2.1175
MOG1,3859,0.0314406,93.0,0.3714,0.3714,0.5252,0.9686,1.0096
MON1,4014,0.0112065,73.0,0.3461,0.3461,0.5805,0.9888,1.2714
MOT1,3273,61.146,38.0,0.4668,0.4668,0.176,0,0.8143
MOT3,1075,2.2497e-05,60.0,0.825,0.825,0.842,1.0,0.5687
MPD1,381,1.5131e-06,17.0,0.9381,0.9381,0.9055,1.0,1.4361
MPS1,562,2.01871e-06,51.0,0.9086,0.9086,0.9,1.0,0.8651
MPT5,3146,0.00710199,0.0,0.4875,0.4875,0.6044,0.9929,0.8346
MRC1,27,4.31578e-14,18.0,0.9958,0.9958,0.9976,1.0,1.0793
MRE11,5312,22.6114,48.0,0.1346,0.1346,0.2095,0,1.0096
MRH1,201,1.15693e-18,79.0,0.9674,0.9674,0.9998,1.0,1.0096
MRI1,1078,0.00251221,74.0,0.8245,0.8245,0.6569,0.9975,0.5125
MRL1,5801,21.1946,95.0,0.0549,0.0549,0.2119,0,0.5125
MRM1,5075,1.5562,83.0,0.1732,0.1732,0.3216,0,0.3952
MRM2,4029,0.000265527,86.0,0.3437,0.3437,0.7572,0.9997,0.6415
MRN1,4820,27.9626,69.0,0.2148,0.2148,0.202,0,0.6154
MRP10,3389,0.0680185,94.0,0.4479,0.4479,0.4833,0.932,0.5675
MRP13,2951,0.000279866,54.0,0.5193,0.5193,0.7551,0.9997,0.984
MRP17,2947,0.00273074,84.0,0.52,0.52,0.6528,0.9973,1.0793
MRP49,1961,0.00344821,84.0,0.6806,0.6806,0.6412,0.9966,0.9292
MRP8,1065,0.000440004,98.0,0.8266,0.8266,0.7365,0.9996,0.7473
MRPL13,3428,0.000147857,88.0,0.4416,0.4416,0.7798,0.9999,0.9527
MRPL15,5939,6.28765,23.0,0.0324,0.0324,0.2593,0,1.2109
MRPL16,3930,0.00225516,60.0,0.3598,0.3598,0.6622,0.9977,1.0793
MRPL19,4415,0.08805,92.0,0.2808,0.2808,0.4693,0.912,0.3952
MRPL27,4161,0.0700308,82.0,0.3221,0.3221,0.4817,0.93,0.9292
MRPL3,4292,0.00613242,83.0,0.3008,0.3008,0.612,0.9939,1.2109
MRPL32,2121,0.000986528,82.0,0.6546,0.6546,0.7011,0.999,0.9292
MRPL33,1673,7.39731e-05,92.0,0.7276,0.7276,0.8045,0.9999,2.1657
MRPL37,3096,0.0216212,82.0,0.4957,0.4957,0.5454,0.9784,1.0793
MRPL38,1009,3.31747e-06,91.0,0.8358,0.8358,0.8898,1.0,0.9292
MRPL39,2414,0.00368358,91.0,0.6068,0.6068,0.6379,0.9963,0.9292
MRPL4,3944,1.34361,21.0,0.3575,0.3575,0.3286,0,0.6102
MRPL44,2507,1.38303e-05,80.0,0.5917,0.5917,0.8556,1.0,0.9292
MRPL49,1850,0.104134,97.0,0.6987,0.6987,0.4603,0.8959,1.0096
