substrate,cyclebase_rank,periodicity_pvalue,peaktime_pct,q_x,q_rank,q_sigmoid,q_pcomplement,multiplier_amplitude
EMP47,5631,64.4076,88.0,0.0826,0.0826,0.1744,0,2.1175
ENA5,2924,0.375189,77.0,0.5237,0.5237,0.3923,0.6248,0.8651
ENB1,516,1.05419e-08,75.0,0.9161,0.9161,0.9657,1.0,0.6569
ENO1,4986,1.04614,90.0,0.1877,0.1877,0.3407,0,1.0545
ENO2,4082,0.037587,81.0,0.335,0.335,0.5155,0.9624,0.6409
EPL1,2489,0.117796,84.0,0.5946,0.5946,0.4536,0.8822,1.2109
EPT1,1342,0.0912403,20.0,0.7815,0.7815,0.4674,0.9088,1.0096
ERC1,2781,0.0764996,54.0,0.547,0.547,0.4769,0.9235,0.7696
ERG1,6113,46.9698,57.0,0.0041,0.0041,0.1845,0,1.0096
ERG11,2797,0.420733,57.0,0.5444,0.5444,0.3864,0.5793,0.5067
ERG12,5280,27.9824,6.0,0.1398,0.1398,0.202,0,0.8229
ERG13,4722,5.08003,26.0,0.2307,0.2307,0.2683,0,0.8304
ERG2,1467,0.0113848,66.0,0.7611,0.7611,0.5796,0.9886,0.5689
ERG20,3734,0.00852927,6.0,0.3917,0.3917,0.5948,0.9915,0.7277
ERG24,5353,8.19304,71.0,0.1279,0.1279,0.2484,0,0.9667
ERG25,4270,5.27166,75.0,0.3044,0.3044,0.2667,0,0.6527
ERG27,1442,0.00317079,76.0,0.7652,0.7652,0.6454,0.9968,1.2235
ERG28,1728,0.204356,77.0,0.7186,0.7186,0.4242,0.7956,0.6344
ERG3,624,1.46689e-07,52.0,0.8985,0.8985,0.9408,1.0,0.7442
ERG4,987,0.0048181,41.0,0.8393,0.8393,0.6243,0.9952,0.7114
ERG5,802,5.34594e-05,64.0,0.8695,0.8695,0.8154,0.9999,0.4845
ERG6,1851,0.00151182,37.0,0.6985,0.6985,0.6813,0.9985,1.0761
ERG8,3875,0.104777,61.0,0.3687,0.3687,0.4599,0.8952,0.6445
ERG9,4549,2.5084,68.0,0.2589,0.2589,0.2994,0,0.8845
ERO1,2063,0.00535593,0.0,0.664,0.664,0.6189,0.9946,0.5125
ERP2,435,4.77344e-06,36.0,0.9293,0.9293,0.8819,1.0,0.7424
ERP5,299,1.5527e-11,22.0,0.9514,0.9514,0.9915,1.0,2.203
